,AAPL,MSFT,NVDA
2002-09-03,86.93383999740091,91.03546384435569,29.829882912838457
2002-09-04,86.91143494363274,91.03858834294589,29.834004941724015
2002-09-05,86.88920345973126,91.041627594442,29.83819696716591
2002-09-06,86.86714404914137,91.04458236399408,29.8424575703425
2002-09-07,86.84525521530803,91.04745341675218,29.846785332432134
2002-09-08,86.82353546167617,91.05024151786633,29.851178834613176
2002-09-09,86.80198329169076,91.05294743248659,29.855636658063982
2002-09-10,86.78059720879672,91.05557192576298,29.860157383962903
2002-09-11,86.75937571643895,91.05811576284556,29.864739593488302
2002-09-12,86.73831731806247,91.06057970888438,29.86938186781854
2002-09-13,86.71742051711217,91.06296452902947,29.87408278813196
2002-09-14,86.69668381703302,91.06527098843088,29.878840935606934
2002-09-15,86.67610572126992,91.06749985223865,29.883654891421802
2002-09-16,86.65568473326782,91.06965188560284,29.88852323675494
2002-09-17,86.6354193564717,91.07172785367348,29.893444552784693
2002-09-18,86.61530809432648,91.07372852160061,29.898417420689423
2002-09-19,86.59534945027708,91.07565465453428,29.90344042164748
2002-09-20,86.57554192776846,91.07750701762453,29.908512136837228
2002-09-21,86.55588403024555,91.07928637602141,29.913631147437023
2002-09-22,86.5363742611533,91.08099349487496,29.91879603462522
2002-09-23,86.51701112393665,91.08262913933522,29.924005379580176
2002-09-24,86.49779312204053,91.08419407455224,29.929257763480248
2002-09-25,86.4787187589099,91.08568906567606,29.93455176750379
2002-09-26,86.45978653798971,91.08711487785675,29.939885972829163
2002-09-27,86.44099496272486,91.0884722762443,29.945258960634725
2002-09-28,86.4223425365603,91.0897620259888,29.950669312098828
2002-09-29,86.40382776294099,91.09098489224027,29.956115608399838
2002-09-30,86.38544914531188,91.09214164014878,29.9615964307161
2002-10-01,86.36720518711788,91.09323303486434,29.967110360225977
2002-10-02,86.34909439180393,91.09425984153701,29.972655978107827
2002-10-03,86.331115262815,91.09522282531684,29.978231865540007
2002-10-04,86.31326630359602,91.09612275135386,29.98383660370087
2002-10-05,86.29554601759193,91.09696038479812,29.989468773768774
2002-10-06,86.27795290824764,91.09773649079968,29.99512695692208
2002-10-07,86.26048547900814,91.09845183450855,30.00080973433914
2002-10-08,86.24314223331834,91.0991071810748,30.006515687198313
2002-10-09,86.2259216746232,91.09970329564848,30.012243396677956
2002-10-10,86.20882230636764,91.10024094337962,30.017991443956422
2002-10-11,86.1918426319966,91.10072088941824,30.023758410212075
2002-10-12,86.17498115495503,91.10114389891443,30.029542876623267
2002-10-13,86.1582363786879,91.1015107370182,30.035343424368357
2002-10-14,86.14160680664011,91.1018221688796,30.041158634625706
2002-10-15,86.12509094225662,91.1020789596487,30.04698708857366
2002-10-16,86.10868728898234,91.10228187447552,30.052827367390584
2002-10-17,86.09239435026224,91.10243167851009,30.05867805225483
2002-10-18,86.07621062954125,91.10252913690249,30.064537724344763
2002-10-19,86.06013463026433,91.10257501480275,30.070404964838733
2002-10-20,86.04416485587639,91.10257007736088,30.0762783549151
2002-10-21,86.0282998098224,91.10251508972699,30.082156475752218
2002-10-22,86.01253799554728,91.10241081705108,30.08803790852844
2002-10-23,85.996877916496,91.10225802448318,30.093921234422133
2002-10-24,85.98131807611345,91.10205747717336,30.099805034611652
2002-10-25,85.96585697784461,91.10180994027166,30.105687890275348
2002-10-26,85.9504931251344,91.10151617892814,30.11156838259158
2002-10-27,85.93522502142778,91.10117695829283,30.11744509273871
2002-10-28,85.92005117016969,91.10079304351575,30.12331660189509
2002-10-29,85.90497007480505,91.10036519974697,30.129181491239073
2002-10-30,85.88998023877882,91.09989419213652,30.135038341949027
2002-10-31,85.87508016553593,91.09938078583447,30.1408857352033
2002-11-01,85.86026835852131,91.09882574599085,30.14672225218025
2002-11-02,85.84554332117993,91.09822983775568,30.152546474058237
2002-11-03,85.83090355695671,91.09759382627904,30.15835698201562
2002-11-04,85.81634756929661,91.09691847671095,30.164152357230748
2002-11-05,85.80187386164452,91.09620455420146,30.16993118088198
2002-11-06,85.78748093744547,91.09545282390062,30.175692034147673
2002-11-07,85.77316730014431,91.09466405095847,30.181433498206193
2002-11-08,85.75893145318604,91.09383900052505,30.187154154235888
2002-11-09,85.74477190001556,91.0929784377504,30.192852583415117
2002-11-10,85.73068714407783,91.09208312778458,30.198527366922235
2002-11-11,85.7166756888178,91.09115383577763,30.2041770859356
2002-11-12,85.7027360376804,91.09019132687959,30.209800321633573
2002-11-13,85.68886669411057,91.0891963662405,30.215395655194506
2002-11-14,85.67506616155325,91.0881697190104,30.220961667796754
2002-11-15,85.66133294345339,91.08711215033932,30.22649694061868
2002-11-16,85.64766554325593,91.08602442537736,30.23200005483864
2002-11-17,85.63406246440579,91.08490730927453,30.23746959163498
2002-11-18,85.62052221034791,91.08376156718084,30.242904132186073
2002-11-19,85.60704328452728,91.0825879642464,30.248302257670268
2002-11-20,85.5936241903888,91.0813872656212,30.253662549265922
2002-11-21,85.5802634313774,91.0801602364553,30.258983588151395
2002-11-22,85.56695951093803,91.07890764189877,30.26426395550504
2002-11-23,85.55371093251566,91.07763024710161,30.269502232505214
2002-11-24,85.5405161995552,91.07632881721389,30.274697000330278
